*** 令和８年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝438156,平均正答率＝0.6019,,,
科目＝国語,総平均点＝116.37,,,,
大問,解答番号,平均点,配点,得点率,正答率
6,33,1.877,3,0.6258,0.6258
6,34,1.197,3,0.3989,0.3989
問題区分＝本試験,人数＝6355,平均正答率＝0.4865,,,
科目＝地理総合,総平均点＝24.27,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,6.401,13,0.4924,0.4855
1,101,1.555,3,0.5183,0.5183
1,102,2.301,4,0.5751,0.5751
1,103,1.293,3,0.4312,0.4312
1,104,1.252,3,0.4175,0.4175
2,合計,6.052,12,0.5044,0.5044
2,105,1.219,3,0.4063,0.4063
2,106,1.576,3,0.5254,0.5254
2,107,2.114,3,0.7048,0.7048
2,108,1.143,3,0.381,0.381
3,合計,5.793,13,0.4456,0.4544
3,109,1.406,3,0.4686,0.4686
3,110,1.771,3,0.5902,0.5902
3,111,1.259,3,0.4197,0.4197
3,112,1.357,4,0.3393,0.3393
4,合計,6.019,12,0.5016,0.5016
4,113,1.283,3,0.4277,0.4277
4,114,1.173,3,0.391,0.391
4,115,2.197,3,0.7322,0.7322
4,116,1.367,3,0.4555,0.4555
問題区分＝本試験,人数＝4477,平均正答率＝0.4962,,,
科目＝歴史総合,総平均点＝24.98,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,13.363,25,0.5345,0.5277
1,101,1.854,3,0.618,0.618
1,102,1.285,3,0.4284,0.4284
1,103,0.474,3,0.1579,0.1579
1,104,2.064,3,0.688,0.688
1,105,1.923,3,0.6411,0.6411
1,106,2.791,4,0.6978,0.6978
1,107,0.836,3,0.2788,0.2788
1,108,2.136,3,0.7119,0.7119
2,合計,11.621,25,0.4649,0.4648
2,109,1.673,3,0.5575,0.5575
2,110,0.678,3,0.226,0.226
2,111,1.297,3,0.4324,0.4324
2,112,2.161,3,0.7203,0.7203
2,113,1.191,3,0.3971,0.3971
2,114,1.66,3,0.5535,0.5535
2,115,1.092,3,0.3641,0.3641
2,116,1.868,4,0.4671,0.4671
問題区分＝本試験,人数＝5342,平均正答率＝0.5785,,,
科目＝公共,総平均点＝29.27,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,7.038,12,0.5865,0.5865
1,101,1.526,3,0.5088,0.5088
1,102,1.037,3,0.3458,0.3458
1,103,2.508,3,0.836,0.836
1,104,1.967,3,0.6556,0.6556
2,合計,9.216,13,0.7089,0.705
2,105,2.131,3,0.7102,0.7102
2,106,2.288,3,0.7626,0.7626
2,107,1.774,3,0.5914,0.5914
2,108,3.024,4,0.7559,0.7559
3,合計,6.472,12,0.5393,0.5393
3,109,1.205,3,0.4017,0.4017
3,110,1.025,3,0.3418,0.3418
3,111,1.658,3,0.5526,0.5526
3,112,2.583,3,0.8611,0.8611
4,合計,6.54,13,0.5031,0.4833
4,113,0.581,3,0.1937,0.1937
4,114,2.961,4,0.7402,0.7402
4,115,0.915,3,0.3049,0.3049
4,116,2.083,3,0.6943,0.6943
問題区分＝本試験,人数＝343000,平均正答率＝0.4983,,,
科目＝数学Ⅰ，数学Ａ,総平均点＝47.20,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,16.252,30,0.5417,0.5767
1,ｱ,1.889,2,0.9446,0.9446
1,ｲ,1.508,2,0.7542,0.7542
1,ｳ-ｴ,1.336,2,0.6682,0.6682
1,ｵ,1.315,2,0.6575,0.6575
1,ｶ-ｷ,0.862,2,0.4308,0.4308
1,ｸ,1.825,2,0.9127,0.9127
1,ｹ,1.834,2,0.9171,0.9171
1,ｺ-ｻ,2.243,3,0.7477,0.7477
1,ｼ-ｿ,1.374,3,0.4581,0.4581
1,ﾀ-ﾃ,0.876,2,0.4378,0.4378
1,ﾄ-ﾇ,0.569,2,0.2843,0.2843
1,ﾈ-ﾊ,0.514,2,0.2568,0.2568
1,ﾋ-ﾍ,0.107,4,0.0268,0.0268
2,合計,17.086,30,0.5695,0.6036
2,ｱ-ｲ,1.89,2,0.9452,0.9452
2,ｳ-ｵ,1.804,2,0.9018,0.9018
2,ｶ,1.709,2,0.8545,0.8545
2,ｷ-ｺ,1.339,2,0.6693,0.6693
2,ｻ-ｼ,2.155,4,0.5389,0.5389
2,ｽ-ｾ,0.416,3,0.1387,0.1387
2,ｿ,2.636,3,0.8786,0.8786
2,ﾀ,1.982,3,0.6606,0.6606
2,ﾁ-ﾂ,0.673,3,0.2244,0.2244
2,ﾃ,1.784,3,0.5946,0.5946
2,ﾄ-ﾅ,0.698,3,0.2327,0.2327
3,合計,6.483,20,0.3242,0.3479
3,ｱ,1.525,2,0.7623,0.7623
3,ｲ-ｳ,1.749,3,0.583,0.583
3,ｴ-ｶ,1.186,3,0.3952,0.3952
3,ｷ-ｸ,0.846,3,0.2821,0.2821
3,ｹ-ｺ,0.682,3,0.2273,0.2273
3,ｻ-ｼ,0.246,2,0.123,0.123
3,ｽ-ｿ,0.25,4,0.0625,0.0625
4,合計,7.377,20,0.3689,0.358
4,ｱ-ｲ,2.555,3,0.8517,0.8517
4,ｳ-ｶ,1.562,3,0.5205,0.5205
4,ｷ-ｹ,0.992,2,0.4959,0.4959
4,ｺ-ｻ,1.005,2,0.5025,0.5025
4,ｼ-ｾ,0.541,3,0.1804,0.1804
4,ｿ,0.37,2,0.1852,0.1852
4,ﾀ-ﾁ,0.291,3,0.097,0.097
4,ﾂ-ﾇ,0.061,2,0.0307,0.0307
問題区分＝本試験,人数＝3280,平均正答率＝0.3042,,,
科目＝数学Ⅰ,総平均点＝28.53,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,8.206,20,0.4103,0.4103
1,ｱ-ｳ,1.409,2,0.7046,0.7046
1,ｴ-ｵ,1.024,2,0.5122,0.5122
1,ｶ-ｸ,0.124,2,0.0619,0.0619
1,ｹ,0.524,2,0.2619,0.2619
1,ｺ,0.313,2,0.1564,0.1564
1,ｻ,1.685,2,0.8427,0.8427
1,ｼ,1.135,2,0.5674,0.5674
1,ｽ-ｾ,0.908,2,0.454,0.454
1,ｿ,0.707,2,0.3534,0.3534
1,ﾀ-ﾁ,0.377,2,0.1887,0.1887
2,合計,8.656,30,0.2885,0.3142
2,ｱ,1.258,2,0.629,0.629
2,ｲ-ｳ,1.033,2,0.5165,0.5165
2,ｴ,1.229,2,0.6146,0.6146
2,ｵ-ｷ,0.44,2,0.2198,0.2198
2,ｸ,0.436,2,0.218,0.218
2,ｹ,1.243,2,0.6213,0.6213
2,ｺ,1.262,2,0.6308,0.6308
2,ｻ-ｼ,1.206,3,0.4021,0.4021
2,ｽ-ﾀ,0.225,3,0.075,0.075
2,ﾁ-ﾄ,0.177,2,0.0887,0.0887
2,ﾅ-ﾈ,0.07,2,0.0351,0.0351
2,ﾉ-ﾋ,0.055,2,0.0277,0.0277
2,ﾌ-ﾎ,0.022,4,0.0055,0.0055
3,合計,6.223,30,0.2074,0.2322
3,ｱ-ｲ,0.874,2,0.4369,0.4369
3,ｳ-ｴ,0.738,2,0.3692,0.3692
3,ｵ-ｶ,0.385,2,0.1924,0.1924
3,ｷ-ｸ,0.245,2,0.1223,0.1223
3,ｹ-ｺ,0.221,2,0.1107,0.1107
