令和７年度 教科別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
教科名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,,,,,,,,,
国　語,200,200,0,126.67,34.9,437209,0.6333,94,119,139,159,,,,,,,,,
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
183,1281,0.29,**,,,,,,,,,,,,,,,,,
184,1473,0.34,**,,,,,,,,,,,,,,,,,
185,1642,0.38,**,,,,,,,,,,,,,,,,,
186,1170,0.27,**,,,,,,,,,,,,,,,,,
187,1413,0.32,**,,,,,,,,,,,,,,,,,
188,759,0.17,*,,,,,,,,,,,,,,,,,
189,833,0.19,*,,,,,,,,,,,,,,,,,
190,421,0.1,*,,,,,,,,,,,,,,,,,
191,551,0.13,*,,,,,,,,,,,,,,,,,
192,693,0.16,*,,,,,,,,,,,,,,,,,
193,310,0.07,,,,,,,,,,,,,,,,,,
194,556,0.13,*,,,,,,,,,,,,,,,,,
195,193,0.04,,,,,,,,,,,,,,,,,,
196,30,0.01,,,,,,,,,,,,,,,,,,
197,99,0.02,,,,,,,,,,,,,,,,,,
198,143,0.03,,,,,,,,,,,,,,,,,,
199,0,0,,,,,,,,,,,,,,,,,,
200,144,0.03,,,,,,,,,,,,,,,,,,
令和７年度 教科別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
教科名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,,,,,,,,,
地理歴史,100,100,0,59.85,16.76,348919,0.5985,45,55,64,75,,,,,,,,,
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
0,51,0.01,,,,,,,,,,,,,,,,,,
1,0,0,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,
3,13,0,,,,,,,,,,,,,,,,,,
4,0,0,,,,,,,,,,,,,,,,,,
5,1,0,,,,,,,,,,,,,,,,,,
6,33,0.01,,,,,,,,,,,,,,,,,,
